ID,Year,Award,Division,Category,Medalist,Entry,WID
2,2023,🥇 GOLD,Domestic,Modern Cider - Dry,Hirosaki Meijo,Hirosaki Castle Cidre Dry,2831
3,2023,🥈 SILVER,Domestic,Modern Cider - Dry,Three Peaks,Ringoya Machiko Apple Cidre,2832
4,2023,🥉 BRONZE,Domestic,Modern Cider - Dry,HOCCA Winery,HOCCA Cidre Dry,2836
5,2023,🥇 GOLD,Domestic,Modern Cider - Sweet,Kikusui Brewing,Cidre Viento Vasco,2016
6,2023,🥈 SILVER,Domestic,Modern Cider - Sweet,Hikaru no Hatake,Lippu Cidre Sweet,2833
7,2023,🥉 BRONZE,Domestic,Modern Cider - Sweet,Koshiro Noen,Koshiro Noen Cidre Pink Blend,X
8,2023,🥇 GOLD,Domestic,Traditional Cider - Dry,Kamoshika Cidre,President 2022,2820
9,2023,🥈 SILVER,Domestic,Traditional Cider - Dry,VinVie Winery & Cidery,Bitter Sharp,2010
10,2023,🥇 GOLD,Domestic,Traditional Cider - Sweet,VinVie Winery & Cidery,Bitter Sweet,2010
11,2023,🥇 GOLD,Domestic,Traditional Perry,Kamoshika Cidre,Poire 2021,2820
12,2023,🥇 GOLD,Domestic,Fruit/Blended Cider,Kikusui Brewing,Posh Lemon Lime,2016
13,2023,🥈 SILVER,Domestic,Fruit/Blended Cider,Izumi Brewery,Green Light Tart Cherry Cider,2835
14,2023,🥉 BRONZE,Domestic,Fruit/Blended Cider,VinVie Winery & Cidery,Rosé Cider,2010
15,2023,🥇 GOLD,Domestic,Hopped Cider,VinVie Winery & Cidery,Hopped Cider,2010
16,2023,🥈 SILVER,Domestic,Hopped Cider,Shiwa Cidery,Split Water Hopped Cider,2830
17,2023,🥇 GOLD,Domestic,Spiced/Botanical Cider,Shiwa Cidery,Autumn Spice Hard Cider,2830
18,2023,🥈 SILVER,Domestic,Spiced/Botanical Cider,Kikusui Brewing,Posh Ginger,2016
19,2023,🥇 GOLD,Domestic,Wood/Barrel-Aged Cider,Gio Hills Winery,Pha Trộn Cider,2824
20,2023,🥈 SILVER,Domestic,Wood/Barrel-Aged Cider,Nakata Orchard,Mozu Nakata Orchard Cider,2834
21,2023,🥇 GOLD,Domestic,Specialty Cider or Perry,and CIDER,Rock Trip,2823
22,2023,🥈 SILVER,Domestic,Specialty Cider or Perry,Izumi Brewery,Sakura Opening Game,2835
23,2023,🥇 GOLD,International,Modern Cider - Dry,Right Bee Cider,Dry,518
24,2023,🥈 SILVER,International,Modern Cider - Dry,Spreyton Cider Company,Kingston Black,1502
25,2023,🥉 BRONZE,International,Modern Cider - Dry,Right Bee Cider,Semi-Dry,518
26,2023,🥇 GOLD,International,Modern Cider - Sweet,Dancing Cider Company,Sweet Mama,1990
27,2023,🥈 SILVER,International,Modern Cider - Sweet,The Walnut House,Wata Lebanese Cider Doux,2143
28,2023,🥉 BRONZE,International,Modern Cider - Sweet,Neon Cider,Auntie Apple Cider,2146
29,2023,🥇 GOLD,International,Traditional Cider - Dry,Courtney’s of Whimple,Silly Cow,2144
30,2023,🥈 SILVER,International,Traditional Cider - Dry,Wignac Cidre,Naturel,2145
31,2023,🥉 BRONZE,International,Traditional Cider - Dry,Saxby’s Cider,Saxby’s Original Cider,2148
32,2023,🥇 GOLD,International,Traditional Cider - Sweet,Courtney’s of Whimple,Courtney’s Orchard Cider,2144
33,2023,🥇 GOLD,International,Traditional Perry,Small Acres Cyder,Sparkling Perry 2021,1175
34,2023,🥇 GOLD,International,Fruit/Blended Cider,Dancing Cider Company,Rude Berry,1990
35,2023,🥈 SILVER,International,Fruit/Blended Cider,Dancing Cider Company,Honeymoon Bae,1990
36,2023,🥉 BRONZE,International,Fruit/Blended Cider,JK’s Farmhouse Ciders,JK’s Traverse City Cherry,3
37,2023,🥇 GOLD,International,Hopped Cider,Tālava Sidrs,Abolu Sidrs Ar Apiniem,2142
38,2023,🥇 GOLD,International,Spiced/Botanical Cider,Right Bee Cider,Clementine,518
39,2023,🥈 SILVER,International,Spiced/Botanical Cider,Saigon Cider,Apple & Chilli,2147
40,2023,🥉 BRONZE,International,Spiced/Botanical Cider,Saxby’s Cider,Saxby’s Rhubarb Cider,2148
41,2023,🥇 GOLD,International,Specialty Cider or Perry,Dancing Cider Company,Apple Sangria,1990
42,2024,🏆 BEST OF SHOW,Domestic,Ice Cider,VinVie Winery & Cidery,Usuginu Cryoconcentration Cider,2010
43,2024,🏆 BEST IN CLASS,Domestic,Modern Cider - Dry,Baeren Brewery,Baeren Our Hour Dry Cidre,3216
44,2024,🥇 GOLD,Domestic,Modern Cider - Dry,Hirosaki Meijo,Hirosaki Meijo Cidre Dry,2831
45,2024,🥇 GOLD,Domestic,Modern Cider - Dry,Tamura Farm,Tamura Cidre Brut,3220
46,2024,🥈 SILVER,Domestic,Modern Cider - Dry,Akiu Winery,Banji Cider Sweet 2022,2019
47,2024,🥈 SILVER,Domestic,Modern Cider - Dry,Akiu Winery,Miyagi Cider 2022,2019
48,2024,🥈 SILVER,Domestic,Modern Cider - Dry,Craft Instinct Japan,Austeja,3219
