Style,Award,Medalist,Entry
Heritage,🥇🥇 Double Gold,Shield Cider,Organic Demi-Sec
Heritage,🥇 Gold,Michel Jodoin,Cidre Mousseux Rosé
Heritage,🥈 Silver,Ferme de Romilly,Rosé
Heritage,🥉 Bronze,Alpenfire Cider,Ember Estate Bitter-Sweet
Heritage,Judges' Pick,Chain Yard Urban Cidery,Pippin Russet
Heritage,Judges' Pick,Ragged Hill Cider Co.,Traditional Semi-Dry
Heritage,Judges' Pick,Rootstock Ciderworks,2017 Heritage
Modern,🥇🥇 Double Gold,Castle Hill Cider,2016 Serendipity
Modern,🥇 Gold,Rootwood Cider Co.,Lake Effect
Modern,🥈 Silver,Washington Gold Cider,Golden Delicious
Modern,🥉 Bronze,Portland Cider Co.,Sorta Sweet
Modern,Judges' Pick,Chain Yard Urban Cidery,Foundation
Modern,Judges' Pick,Michel Jodoin,Cidre Mousseux Blanc
Modern,Judges' Pick,Lost Giants Cider Co.,Dry
Perry,🥇🥇 Double Gold,Oliver's Cider and Perry,Classic
Perry,🥇 Gold,Pierre Huet,Poiré Demi-Sec
Perry,🥈 Silver,Portland Cider Co.,Pearfect
Perry,🥉 Bronze,Dragon's Head Cider,Perry
Perry,Judges' Pick,Argus Cidery,Vinho Pearde
Perry,Judges' Pick,Conneaut Cellars Winery,Sparkling Perry
Perry,Judges' Pick,Seattle Cider Co.,2015 Perry
Still,🥇🥇 Double Gold,Liberty Ciderworks,Porter's Perfection SV
Still,🥇 Gold,Alpenfire Cider,Discovery Trail
Still,🥇 Gold,Eden Specialty Ciders,Cinderella's Slipper
Still,🥇 Gold,Gowan's Heirloom Ciders,Sierra Beauty
Still,🥈 Silver,Michel Jodoin,Cidre Tranquille Fort Rosé
Still,🥉 Bronze,BlackBird Cider Works,Gin Barrel Aged
Still,Judges' Pick,Black Diamond Cider,2016 Solstice
Still,Judges' Pick,Headwater Cider Co.,Seven
Still,Judges' Pick,Island Orchard Cider,Still Beauty
Single Varietal,🥇🥇 Double Gold,Alpenfire Cider,Glow Airlie Red
Single Varietal,🥇 Gold,Dragon's Head Cider,Kingston Black
Single Varietal,🥈 Silver,Alpenfire Cider,Foxwhelp Estate
Single Varietal,🥉 Bronze,Arsenal Cider House,Broken Hearts Are For Apples
Single Varietal,🥉 Bronze,Blue Bee Cider,Hewe's Crab
Single Varietal,Judges' Pick,Cider Creek Hard Cider,Spy Games
Single Varietal,Judges' Pick,Gowan's Heirloom Ciders,Macintosh
Single Varietal,Judges' Pick,Liberty Ciderworks,Heirloom Series McIntosh SV
Sour,🥇🥇 Double Gold,Cider Creek Hard Cider,Dreams of Charlotte Series #1
Sour,🥇 Gold,Argus Cidery,Ozark Brut
Sour,🥈 Silver,Urban Tree Cidery,Sidra Urbano
Sour,🥉 Bronze,Brooklyn Cider House,Raw
Sour,Judges' Pick,Bereziartua,Sidra
Sour,Judges' Pick,Black Mountain Ciderworks,Black Scrumpy
Sour,Judges' Pick,Cider Creek Hard Cider,Dreams of Charlotte Series #2
Stone Fruit,🥇🥇 Double Gold,Ironbound Hard Cider,Devil's Harvest
Stone Fruit,🥇 Gold,Bauman's Cider,Peach Raspberry
Stone Fruit,🥇 Gold,Snow Capped Cider,Sour Cherry
Stone Fruit,🥈 Silver,Virtue Cider,Michigan Cherry
Stone Fruit,🥉 Bronze,Noble Cider,Royal Peach
Stone Fruit,Judges' Pick,Brownrigg Hard Cider,Cherry Cardamom
Stone Fruit,Judges' Pick,Noble Cider,Village Tart
Stone Fruit,Judges' Pick,Runcible Cider,Cherry Twang
Fruit,🥇🥇 Double Gold,2 Towns Ciderhouse,Passion Statement
Fruit,🥇 Gold,Washington Gold Cider,Raspberry
Fruit,🥈 Silver,2 Towns Ciderhouse,Easy Peasy
Fruit,🥉 Bronze,Bauman's Cider,Loganberry
Fruit,🥉 Bronze,Cider Brothers Pacific Coast Ciders,Apple with Mango and Muscat
Fruit,🥉 Bronze,Shoal Hope Ciderworks,Little Tart
Fruit,Judges' Pick,Avid Cider Co.,Blackberry
Fruit,Judges' Pick,Common Cider Co.,Blackberry Sangria
Fruit,Judges' Pick,Woodchuck Hard Cider,Bubbly Pearsecco
Hopped,🥇🥇 Double Gold,BC Tree Fruits Cider Co.,Broken Ladder Apples & Hops
Hopped,🥇 Gold,Swift Cider,Pineapple Hop
Hopped,🥈 Silver,Ironbound Hard Cider,Woods Folly
Hopped,🥉 Bronze,Square Mile Cider Co.,Hopped
Hopped,Judges' Pick,Rebel Seed Cidery,Colonial Jack
Hopped,Judges' Pick,Rootwood Cider Co.,Hop Infused
Hopped,Judges' Pick,Tractor Brewing Co.,Hopped
Oak-Aged,🥇🥇 Double Gold,Wrangletown Cider Co.,Oak Barrel-Aged
Oak-Aged,🥇 Gold,Seattle Cider Co.,Oaked Maple
Oak-Aged,🥈 Silver,Blake's Hard Cider Co.,Sir Lushington
Oak-Aged,🥉 Bronze,WildCraft Cider Works,Empire
Oak-Aged,Judges' Pick,Green Bench Mead and Cider,I Am Brut w/ Raspberry
Oak-Aged,Judges' Pick,Sea Cider Farm & Ciderhouse,Rumrunner
Oak-Aged,Judges' Pick,West Avenue Cider,Frequin Rouge
Spiced/Botanical,🥇🥇 Double Gold,Brownrigg Hard Cider,Fig Leaf
Spiced/Botanical,🥇 Gold,Noble Cider,Spice Merchant
Spiced/Botanical,🥈 Silver,Square Mile Cider Co.,Rosé
Spiced/Botanical,🥉 Bronze,Arsenal Cider House,Grierson's Ginger
Spiced/Botanical,Judges' Pick,Chatter Creek Cider,Chaider Clipper
Spiced/Botanical,Judges' Pick,Colorado Cider Co.,Pome Mel
Spiced/Botanical,Judges' Pick,Vander Mill,Totally Roasted
Specialty,🥇🥇 Double Gold,Kystin Cidres,Cuvée XVII Cidre à la Châtaigne
Specialty,🥇 Gold,Chain Yard Urban Cidery,Ginxberry
Specialty,🥈 Silver,Chain Yard Urban Cidery,Rhubee Cyser
Specialty,🥉 Bronze,Blake's Hard Cider Co.,El Chavo
Specialty,Judges' Pick,Champlain Orchards Cidery,Mac & Maple
Specialty,Judges' Pick,Seattle Cider Co.,Olympic Honey
Specialty,Judges' Pick,Virtue Cider,Michigan Honey
Dessert,🥇🥇 Double Gold,Eden Specialty Ciders,Cellar Series #2 The Falstaff
Dessert,🥇 Gold,The Great Canadian Cider Co.,Organic Ice Cider
Dessert,🥈 Silver,Michel Jodoin,Cidre de Glace Rosé
Dessert,🥉 Bronze,West Avenue Cider,North by West
Dessert,Judges' Pick,Domaine Pinnacle,Sparkling Ice Cider
Dessert,Judges' Pick,Fly Creek Cider Mill,Apple Frost
Dessert,Judges' Pick,Liberty Ciderworks,Manchurian Crabapple SV
Fortified,🥇🥇 Double Gold,2 Towns Ciderhouse,2015 Pommeau
Fortified,🥇 Gold,Alpenfire Cider,Rosy Pommeau
Fortified,🥈 Silver,Dragon's Head Cider,Pommeau
Fortified,🥉 Bronze,Conneaut Cellars Winery,Pommeau
Fortified,Judges' Pick,Big B's Hard Cider,Bourbon Barrel Aged Pommeau
Fortified,Judges' Pick,Michel Jodoin,Vermouth de Pomme
Fortified,Judges' Pick,Conneaut Cellars Winery,Poirissimo
