ID,Year,Award,Producer,Product,State
2,2023,🏆 Winner,Bauman’s Cider Co,Orchard Select,Oregon
3,2023,🏆 Winner,Castle Hill Cider,Dry Hopped,Virginia
4,2023,🏆 Winner,Castle Hill Cider,Sunday Muse,Virginia
5,2023,🏆 Winner,Champlain Orchards,Kingston Dry,Vermont
6,2023,🏆 Winner,Ethic Ciders,Pommeau,California
7,2023,🏆 Winner,Fable Farm Fermentory,Fluxion,Vermont
8,2023,🏆 Winner,Gowan’s Heirloom Cider,Gowan's Estate Classic Dry Cider,California
9,2023,🏆 Winner,Gowan’s Heirloom Cider,Gowan's Estate Gravenstein Cider,California
10,2023,🏆 Winner,Gowan’s Heirloom Cider,Gowan's Estate Spiced Apple Cider,California
11,2023,🏆 Winner,Lassen Traditional Cider,Wombat Flats,California
12,2023,🏆 Winner,Lassen Traditional Cider,Greenwood Gold,California
13,2023,🏆 Winner,Liberty Ciderworks,Heirloom Series McIntosh,Washington
14,2023,🏆 Winner,Liberty Ciderworks,55 Chain,Washington
15,2023,🏆 Winner,Madrone Cider,2021 Island Perry,Washington
16,2023,🏆 Winner,Snow Capped Cider,Ashmeads Kernel,Colorado
17,2023,🏆 Winner,Stem Ciders,"Carrot, Ginger, Turmeric",Colorado
18,2023,🏆 Winner,Stormalong Cider,Boston Heirloom,Massachusetts
19,2023,🏆 Winner,Stormalong Cider,Franklin Cider,Massachusetts
20,2023,🏆 Winner,The Cider Farm,Classic Dry,Wisconsin
21,2023,🏆 Winner,The Cider Farm,Oak-Aged,Wisconsin
22,2023,🏆 Winner,Wise Bird Cider Co.,Pomme Pomme,Kentucky
23,2023,🏅 Finalist,Artifact Cider Project,Long Way Back,Massachusetts
24,2023,🏅 Finalist,Artifact Cider Project,Upta Camp,Massachusetts
25,2023,🏅 Finalist,Berkshire Cider Project,Community Cider Project #2,Massachusetts
26,2023,🏅 Finalist,Botanist & Barrel,Not What We May Be Pet Nat Cider,North Carolina
27,2023,🏅 Finalist,Castle Hill Cider,Silver Bough,Virginia
28,2023,🏅 Finalist,Champlain Orchards,Larrabee,Vermont
29,2023,🏅 Finalist,Champlain Orchards,Citra Cider,Vermont
30,2023,🏅 Finalist,Fable Farm Fermentory,Emanation,Vermont
31,2023,🏅 Finalist,Nashi Orchards,Sakura Ridge Pippins Cider,Washington
32,2023,🏅 Finalist,Posterity Ciderworks,"My Pét Dragon, Vol II",California
33,2023,🏅 Finalist,Posterity Ciderworks,Arkansas Black Single Varietal,California
34,2023,🏅 Finalist,Posterity Ciderworks,Far Away Field Blend,California
35,2023,🏅 Finalist,Snow Capped Cider,Barrel Aged,Colorado
36,2023,🏅 Finalist,Snow Capped Cider,Plum and Lemongrass,Colorado
37,2023,🏅 Finalist,Stem Ciders,A Salted Cucumber Apple Cider,Colorado
38,2023,🏅 Finalist,Union Hill Cider Co.,Barrel Aged,Washington
39,2023,🏅 Finalist,Winchester Ciderworks,VA-Ginga,Virginia
